STATUS | wrapper  | 2014/06/09 09:54:15 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/09 09:54:15 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/09 09:54:15 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/09 09:54:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/09 09:54:15 | 
STATUS | wrapper  | 2014/06/09 09:54:16 | Launching a JVM...
INFO   | jvm 1    | 2014/06/09 09:54:19 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/09 09:54:21 | [2014-06-09 09:54:21,619][INFO ][node                     ] [Stingray] version[1.0.0], pid[1097], build[a46900e/2014-02-12T16:18:34Z]
INFO   | jvm 1    | 2014/06/09 09:54:21 | [2014-06-09 09:54:21,619][INFO ][node                     ] [Stingray] initializing ...
INFO   | jvm 1    | 2014/06/09 09:54:21 | [2014-06-09 09:54:21,799][INFO ][plugins                  ] [Stingray] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, marvel, analysis-smartcn, analysis-ik, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, head, inquisitor, kopf, paramedic, rtf, segmentspy]
INFO   | jvm 1    | 2014/06/09 09:54:24 | [2014-06-09 09:54:24,825][INFO ][node                     ] [Stingray] initialized
INFO   | jvm 1    | 2014/06/09 09:54:24 | [2014-06-09 09:54:24,826][INFO ][node                     ] [Stingray] starting ...
INFO   | jvm 1    | 2014/06/09 09:54:24 | [2014-06-09 09:54:24,857][INFO ][thrift                   ] [Stingray] bound on port [9500]
INFO   | jvm 1    | 2014/06/09 09:54:25 | [2014-06-09 09:54:25,004][INFO ][transport                ] [Stingray] bound_address {inet[/0:0:0:0:0:0:0:0%0:9300]}, publish_address {inet[/192.168.3.156:9300]}
INFO   | jvm 1    | 2014/06/09 09:54:28 | [2014-06-09 09:54:28,219][INFO ][cluster.service          ] [Stingray] new_master [Stingray][adtAOK2uSV-tbZITIqm1sw][MacMiniE0100015][inet[/192.168.3.156:9300]], reason: zen-disco-join (elected_as_master)
INFO   | jvm 1    | 2014/06/09 09:54:28 | [2014-06-09 09:54:28,321][INFO ][discovery                ] [Stingray] elasticsearch/adtAOK2uSV-tbZITIqm1sw
INFO   | jvm 1    | 2014/06/09 09:54:28 | [2014-06-09 09:54:28,336][INFO ][http                     ] [Stingray] bound_address {inet[/0:0:0:0:0:0:0:0%0:9200]}, publish_address {inet[/192.168.3.156:9200]}
INFO   | jvm 1    | 2014/06/09 09:54:28 | [2014-06-09 09:54:28,356][INFO ][gateway                  ] [Stingray] recovered [0] indices into cluster_state
INFO   | jvm 1    | 2014/06/09 09:54:28 | [2014-06-09 09:54:28,356][INFO ][node                     ] [Stingray] started
INFO   | jvm 1    | 2014/06/09 09:54:35 | [2014-06-09 09:54:35,808][INFO ][mmseg-analyzer           ] chars loaded time=362ms, line=14861, on file=chars.dic
INFO   | jvm 1    | 2014/06/09 09:54:35 | [2014-06-09 09:54:35,812][INFO ][mmseg-analyzer           ] words loaded time=1ms, line=4, on file=words-my.dic
INFO   | jvm 1    | 2014/06/09 09:54:36 | [2014-06-09 09:54:36,318][INFO ][mmseg-analyzer           ] words loaded time=506ms, line=263638, on file=words.dic
INFO   | jvm 1    | 2014/06/09 09:54:36 | [2014-06-09 09:54:36,318][INFO ][mmseg-analyzer           ] load all dic use time=872ms
INFO   | jvm 1    | 2014/06/09 09:54:36 | [2014-06-09 09:54:36,319][INFO ][mmseg-analyzer           ] unit loaded time=0ms, line=35, on file=units.dic
INFO   | jvm 1    | 2014/06/09 09:54:37 | [2014-06-09 09:54:37,822][INFO ][ik-analyzer              ] [Dict Loading]ik/custom/mydict.dic
INFO   | jvm 1    | 2014/06/09 09:54:37 | [2014-06-09 09:54:37,822][INFO ][ik-analyzer              ] [Dict Loading]ik/custom/single_word_low_freq.dic
INFO   | jvm 1    | 2014/06/09 09:54:37 | [2014-06-09 09:54:37,827][INFO ][ik-analyzer              ] [Dict Loading]ik/custom/ext_stopword.dic
INFO   | jvm 1    | 2014/06/09 09:54:38 | 2014-6-9 9:54:38 org.ansj.util.MyStaticValue <clinit>
INFO   | jvm 1    | 2014/06/09 09:54:38 | 
INFO   | jvm 1    | 2014/06/09 09:54:38 | 
INFO   | jvm 1    | 2014/06/09 09:54:39 | 2014-6-9 9:54:39 org.ansj.library.InitDictionary init
INFO   | jvm 1    | 2014/06/09 09:54:39 | 
INFO   | jvm 1    | 2014/06/09 09:54:39 | 2014-6-9 9:54:39 org.ansj.library.UserDefineLibrary loadFile
INFO   | jvm 1    | 2014/06/09 09:54:39 | %S
INFO   | jvm 1    | 2014/06/09 09:54:39 | 
INFO   | jvm 1    | 2014/06/09 09:54:41 | 2014-6-9 9:54:40 org.ansj.library.UserDefineLibrary loadFile
INFO   | jvm 1    | 2014/06/09 09:54:41 | %S
INFO   | jvm 1    | 2014/06/09 09:54:41 | 
INFO   | jvm 1    | 2014/06/09 09:54:41 | 2014-6-9 9:54:40 org.ansj.library.UserDefineLibrary loadFile
INFO   | jvm 1    | 2014/06/09 09:54:41 | %S
INFO   | jvm 1    | 2014/06/09 09:54:41 | 
INFO   | jvm 1    | 2014/06/09 09:54:41 | 2014-6-9 9:54:40 org.ansj.library.UserDefineLibrary initAmbiguityLibrary
INFO   | jvm 1    | 2014/06/09 09:54:41 | %S
INFO   | jvm 1    | 2014/06/09 09:54:41 | 
